StateID,ViolentCrimeRate
AK,498.0199999999999
AL,434.00909090909096
AR,379.54363636363627
AZ,484.4418181818182
CA,633.2527272727273
CO,380.42000000000013
CT,297.2418181818182
DC,1638.8345454545452
DE,479.4054545454545
FL,729.278181818182
GA,453.57818181818186
HI,214.66363636363636
IA,200.64000000000001
ID,207.0836363636364
IL,624.8563636363638
IN,320.0127272727272
KS,320.2127272727272
KY,262.83454545454543
LA,591.2909090909092
MA,442.5909090909092
MD,669.7399999999999
ME,122.8872727272727
MI,562.7363636363636
MN,225.80181818181822
MO,476.618181818182
MS,291.050909090909
MT,198.36545454545453
NC,438.141818181818
ND,88.75636363636364
NE,244.71272727272722
NH,116.8709090909091
NJ,399.3163636363636
NM,581.2436363636365
NV,601.989090909091
NY,717.3340000000001
OH,343.63090909090926
OK,396.48545454545456
OR,349.0618181818181
PA,326.6581818181818
RI,274.1381818181818
SC,613.3927272727274
SD,158.9854545454545
TN,500.9745454545454
TX,477.0527272727272
UT,220.49999999999997
VA,286.209090909091
VT,105.0745454545455
WA,336.7309090909091
WI,187.66727272727275
WV,189.28727272727275
WY,220.88
