code,StateID
LASST010000000000003,AL
LASST020000000000003,AK
LASST040000000000003,AZ
LASST050000000000003,AR
LASST060000000000003,CA
LASST080000000000003,CO
LASST090000000000003,CT
LASST100000000000003,DE
LASST110000000000003,DC
LASST120000000000003,FL
LASST130000000000003,GA
LASST150000000000003,HI
LASST160000000000003,ID
LASST170000000000003,IL
LASST180000000000003,IN
LASST190000000000003,IA
LASST200000000000003,KS
LASST210000000000003,KY
LASST220000000000003,LA
LASST230000000000003,ME
LASST240000000000003,MD
LASST250000000000003,MA
LASST260000000000003,MI
LASST270000000000003,MN
LASST280000000000003,MS
LASST290000000000003,MO
LASST300000000000003,MT
LASST310000000000003,NE
LASST320000000000003,NV
LASST330000000000003,NH
LASST340000000000003,NJ
LASST350000000000003,NM
LASST360000000000003,NY
LASST370000000000003,NC
LASST380000000000003,ND
LASST390000000000003,OH
LASST400000000000003,OK
LASST410000000000003,OR
LASST420000000000003,PA
LASST440000000000003,RI
LASST450000000000003, SC
LASST460000000000003,SD
LASST470000000000003,TN
LASST480000000000003,TX
LASST490000000000003,UT
LASST500000000000003,VT
LASST510000000000003,VA
LASST530000000000003,WA
LASST540000000000003,WV
LASST550000000000003,WI
LASST560000000000003,WY
